testname,event,treatment,start,load,style.load,idle,features_number
(index):308 LayerVSMatch,idle,T2-Ls,589.1999999880791,4081.800000011921,486.60000002384186,4293.100000023842,10000
(index):308 LayerVSMatch,idle,T1-Ls,1121.0999999940395,42482.69999998808,7270.799999982119,42484.40000000596,10000
(index):308 LayerVSMatch,idle,T2-Ls2,12086,6300.800000011921,2258.800000011921,6300.9000000059605,10000
(index):308 LayerVSMatch,idle,T3-Ls,603.8000000119209,14315.300000011921,1938.800000011921,14318.699999988079,10000
(index):308 LayerVSMatch,idle,T2-Ls2,7080.299999982119,7884.5,3372.600000023842,7885,10000
(index):308 LayerVSMatch,idle,T1-Ls,587.8999999761581,29348.5,2337.800000011921,29350.600000023842,10000






















